Reviewer,Record #,First_author,Year,Journal,Title,Stressor class,Exact stressor,Receptor,aquatic,Study system,Structure measured?,Function measured?,Structural measures_CLEAN,Functional measures_CLEAN,STR_VAR,FUN_VAR
Bundschuh,209,Englert,2013,Science of the Total Environment,Effects of municipal wastewater on aquatic ecosystem structure and function in the receiving stream,Land use change,wastewater release,invertebrates; microbes,,,Yes,Yes,invertebrate community_composition,decomposition ,community_composition,decomposition
Bundschuh,210,Englert,2015,Science of the Total Environment,Variability in ecosystem structure and functioning in a low order stream: Implications of land use and season,Land use change,agriculture; Wastewater; urban,invertebrates; microbes,,,Yes,Yes,invertebrate community_composition,decomposition ,community_composition,decomposition
Bundschuh,211,Esquilin,2007,Soil Biology & Biochemistry,Microbial community structure and activity in a Colorado Rocky Mountain forest soil scarred by slash pile burning,Land use change,Slash pile burning,microbes,,,Yes,Yes,fungal ; bacterial community_composition ,fungal ; bacterial respiration,community_composition,;_respiration
Bundschuh,212,Evans,2012,Biogeochemistry,Soil microbial community response to drying and rewetting stress: does historical precipitation regime matter?,Climate change,Drought; rewetting,microbes,,,Yes,Yes,bacterial community_composition,respiration,community_composition,respiration
Bundschuh,214,Fairchild,1992,Environmental Toxicology and Chemistry,"Population-level, community-level and ecosystem-level responses of aquatic mesocosms to pulsed doses of a pyrethroid insecticide",chemical stressor,Esfenvalerate,invertebrate; algae; plants,,,Yes,Yes,invertebrate community_composition,primary_production,community_composition,primary_production
Bundschuh,215,Fan,2016,Environmental Pollution,"Nano-TiO2 affects Cu speciation, extracellular enzyme activity, and bacterial communities in sediments",chemical stressor,Cu; TiO2 Nanoparticles,microbes,,,Yes,Yes,bacterial community_composition ,enzyme_activity,community_composition,enzyme_activity
Bundschuh,216,Fanin,2016,Soil Biology & Biochemistry,Aboveground litter quality is a better predictor than belowground microbial communities when estimating carbon mineralization along a land-use gradient,Land use change,plantation; culture; grassland; forest,microbes,,,Yes,Yes,Microbial community_composition ,decomposition ; enzyme_activity,community_composition,decomposition ; enzyme_activity
Bundschuh,218,Farrell,2010,Fems Microbiology Ecology,Microbial diversity and activity are increased by compost amendment of metal-contaminated soil,chemical stressor,Metals,microbes,,,Yes,Yes,microbial community_composition ,respiration,community_composition,respiration
Bundschuh,219,Fechner,2012,Aquatic Toxicology,Adaptation of copper community tolerance levels after biofilm transplantation in an urban river,chemical stressor,Metals,microbes,,,Yes,Yes,Microbial community_composition ,enzyme_activity,community_composition,enzyme_activity
Bundschuh,221,Fernandes,2009,Science of the Total Environment,Mixtures of zinc and phosphate affect leaf litter decomposition by aquatic fungi in streams,chemical stressor,Metal; Zinc; Phosphate; nutrient enrichment,microbes,,,Yes,Yes,Fungal diversity ,decomposition,diversity,decomposition
Bundschuh,222,Fernandez,2015,Science of the Total Environment,Effects of fungicides on decomposer communities and litter decomposition in vineyard streams,Land use change,Agriculture; Pesticides,Microbes; Invertebrates,,,Yes,Yes,Fungal ; invertebrate community_composition,decomposition ,community_composition,decomposition
Bundschuh,223,Ferreira,2011,Global Change Biology,Synergistic effects of water temperature and dissolved nutrients on litter decomposition and associated fungi,multiple stressors,Temperture; nutrient enrichment,microbes,,,Yes,Yes,Fungal diversity ,decomposition ; respiration,diversity,decomposition ; respiration
Bundschuh,224,Ferreira,2016,Limnologica,Effects of whole-stream nitrogen enrichment and litter species mixing on litter decomposition and associated fungi,chemical stressor,nutrient enrichment,microbes,,,Yes,Yes,Fungal species richness ,decomposition,richness,decomposition
Bundschuh,225,Fichtner,2014,Soil Biology & Biochemistry,Effects of anthropogenic disturbances on soil microbial communities in oak forests persist for more than 100 years,Land use change,Forestry intensity gradient,microbes,,,Yes,Yes,Microbial community_composition,enzyme_activity,community_composition,enzyme_activity
Bundschuh,226,Flores,2014,Science of the Total Environment,Effects of a fungicide (imazalil) and an insecticide (diazinon) on stream fungi and invertebrates associated with litter breakdown,chemical stressor,Imazalil; Diazinon,microbes,,,Yes,Yes,Fungal diversity ,Consumption,diversity,consumption
Bundschuh,228,Foulquier,2013,Fems Microbiology Ecology,Long-term impact of hydrological regime on structure and functions of microbial communities in riverine wetland sediments,hydrological regime,microbes,,,,Yes,Yes,bacterial community_composition ,respiration ; nutrient_transformation ; enzyme_activity,community_composition,respiration ; nutrient_transformation ; enzyme_activity
Bundschuh,229,Franzo,2016,Environmental Science and Pollution Research,"Benthic ecosystem functioning in the severely contaminated Mar Piccolo of Taranto (Ionian Sea, Italy): focus on heterotrophic pathways",chemical stressor,heavy metals PCB,microbes,,,Yes,Yes,bacterial community_composition,enzyme acitivty ; heterotrophic carbon production,community_composition,enzyme_acitivty ; heterotrophic_carbon_production
Harrison,230,Frenk,2013,Plos One,Effect of Metal Oxide Nanoparticles on Microbial Community Structure and Function in Two Different Soil Types,chemical stressor,Copper oxide and magnetite nanoparticles,Bacteria,terrestrial,lab,Yes,Yes,community_composition ; size,respiration ; oxidative potential,community_composition ; size,respiration ; oxidative_potential
Harrison,231,Frey,2006,Soil Biology & Biochemistry,Microbial activity and community structure of a soil after heavy metal contamination in a model forest ecosystem,chemical stressor,Heavy metal dust (Cu; Zn; Cd; Pb) and acid rain,Microbes,terrestrial,Field,Yes,Yes,community_composition ,enzyme_activity ,community_composition,enzyme_activity
Harrison,232,Friberg,2009,Freshwater Biology,Relationships between structure and function in streams contrasting in temperature,Physical stressor,Temperature,Macroinvertebrates; Leaf litter,aquatic,Field,Yes,Yes,Evenness ; functional density,decomposition ; nutrient_flux,Evenness ; functional_density,decomposition ; nutrient_flux
Harrison,233,Fromin,2012,Journal of Soils and Sediments,Spatial variability of the functional stability of microbial respiration process: a microcosm study using tropical forest soil,Physical stressor,Temperature,Microbes,terrestrial,lab,Yes,Yes,Genetic diversity,respiration,Genetic_diversity,respiration
Harrison,234,Fry,2016,Soil Biology & Biochemistry,Shifts in microbial communities do not explain the response of grassland ecosystem function to plant functional composition and rainfall change,Physical stressor,Rainfall change,Bacteria,terrestrial,Field,Yes,Yes,abundance ; community_composition,respiration,abundance ; community_composition,respiration
Harrison,235,Fuller,1997,Soil Biology & Biochemistry,Trichloroethylene (TCE) and toluene effects on the structure and function of the soil community,chemical stressor,Trichloroethylene; toluene,Microbes,terrestrial,lab,Yes,Yes,Nematode maturity index ; nematode abundance ; microbial density ; abundance ; arthropod activity ; plant germination,respiration ; arthropod activity,nematode_maturity_index ; nematode_abundance ; density ; abundance ; arthropod_activity ; germination,respiration ; arthropod_activity
Harrison,236,Fultz,2016,Applied Soil Ecology,Forest wildfire and grassland prescribed fire effects on soil biogeochemical processes and microbial communities: Two case studies in the semi-arid Southwest,Fire,wildfire; prescribed fire,microbes; BGC processes,terrestrial,,Yes,Yes,microbial community_composition ; biomass,carbon dioxide flux,community_composition ; biomass,carbon_dioxide_flux
Harrison,237,Funck,2013,Aquatic Toxicology,Phosphorus availability modulates the toxic effect of silver on aquatic fungi and leaf litter decomposition,chemical stressor,Silver,Microbes,aquatic,Field,Yes,Yes,species richness,decomposition ; feeding_rate,richness,decomposition ; feeding_rate
Harrison,238,Gardestrom,2016,Freshwater Biology,Disturbance history influences stressor impacts: effects of a fungicide and nutrients on microbial diversity and litter decomposition,chemical stressor,Fungicide; nutrient enrichment,microbes,aquatic,field,Yes,Yes,hyphomycete diversity,decomposition ; feeding_rate ; detritivore growth,hyphomycete_diversity,decomposition ; feeding_rate ; detritivore_growth
Harrison,240,Gelsomino,2006,Soil Biology & Biochemistry,Changes in chemical and biological soil properties as induced by anthropogenic disturbance: A case study of an agricultural soil under recurrent flooding by wastewaters,Flooding,Flooding,microbes,terrestrial,field,Yes,Yes,community_composition ; biomass,respiration ; biomass,community_composition ; biomass,respiration ; biomass
Harrison,241,Ginebreda,2014,Science of the Total Environment,"Assessment of multi-chemical pollution in aquatic ecosystems using toxic units: Compound prioritization, mixture characterization and relationships with biological descriptors",chemical stressor,mixture (29 pharmaceuticals; 22 pesticides),Daphnia magna and algae,aquatic,field,Yes,Yes,invertebrate biomass ; diversity,biomass ; diatom quality ; chlorophyll-a ; photosynthesis,biomass ; diversity,biomass ; diatom_quality ; chlorophyll-a ; photosynthesis
Harrison,242,Goberna,2012,Microbial Ecology,Burning Fire-Prone Mediterranean Shrublands: Immediate Changes in Soil Microbial Community Structure and Ecosystem Functions,,Fire,Microbes,terrestrial,field,Yes,Yes,community_composition,biomass ; respiration ; enzyme_activity,community_composition,biomass ; respiration ; enzyme_activity
Harrison,243,Gomes,2016,Limnologica,The replacement of native plants by exotic species may affect the colonization and reproduction of aquatic hyphomycetes,Invasive species,Eucalyptus monocultures,fungi,terrestrial,field,Yes,Yes,fungal colonization,fungal sporulation,colonization,sporulation
Harrison,244,Goncalves,2012,Marine and Freshwater Research,"Invertebrate colonisation during leaf processing of native, exotic and artificial detritus in a tropical stream",Invasive; exotic species,Eucalyptus grandis,invertebrates,aquatic,field,Yes,Yes,density ; richness,decomposition,density ; richness,decomposition
Harrison,246,Green,2012,Plos One,Effects of Non-Indigenous Oysters on Microbial Diversity and Ecosystem Functioning,Invasive species,Pacific oyster (Crasostrea gigas),microbes,,,Yes,Yes,bacterial ; microbial diversity,Chlorophyll ; microbial activity ; community respiration;,diversity,chlorophyll ; activity ; respiration;
Harrison,247,Griebler,2016,Environmental Earth Sciences,"Potential impacts of geothermal energy use and storage of heat on groundwater quality, biodiversity, and ecosystem processes",Physical; Land use change,Temperature,bacteria,,,Yes,Yes,microbial diversity,bacterial production,diversity,production
Harrison,248,Griffiths,2001,Applied Soil Ecology,"Functional stability, substrate utilisation and biological indicators of soils following environmental impacts",Chemical; Physical; Climate,Copper; heat stress,protozoan population,,,Yes,Yes,protozoan population ,respiration ; decomposition,protozoan_population,respiration ; decomposition
Harrison,251,Gros,2004,Applied Soil Ecology,Relationships between soil physico-chemical properties and microbial activity along a restoration chronosequence of alpine grasslands following ski run construction,Land use change,Soil erosion,microbes,terrestrial,,Yes,Yes,heterotrophic microbial diversity,enzyme_activity ; basal metabolism ,heterotrophic_diversity,enzyme_activity ; basal_metabolism
Harrison,252,Guasch,2016,Freshwater Biology,Influence of grazing on triclosan toxicity to stream periphyton,Chemical; Biological,Triclosan; Grazing by snails,Periphyton,aquatic,lab,Yes,Yes,periphyton growth form ; biomass,biomass ; phosphorus uptake,periphyton_growth_form ; biomass,biomass ; phosphorus_uptake
Harrison,253,Gucker,2009,Freshwater Biology,Impacts of agricultural land use on ecosystem structure and whole-stream metabolism of tropical Cerrado streams,Land use change,Eutrophication; structural degredation,microbes; invertebrates,aquatic,field,Yes,Yes,biomass ; invertebrate diversity ; functional_feeding_group ; density,community respiration ; primary_production,biomass ; diversity ; functional_feeding_group ; density,respiration ; primary_production
Harrison,254,Gucker,2006,Journal of the North American Benthological Society,Effects of wastewater treatment plant discharge on ecosystem structure and function of lowland streams,Land use change,Agriculture,microbes,aquatic,field,Yes,Yes,biomass,community respiration ; primary_production,biomass,respiration ; primary_production
Harrison,255,Gulden,2015,Agriculture Ecosystems & Environment,Preceding crop and weed management history affect denitrification and denitrifier community structure throughout the development of durum wheat,Land use change,Agriculture crop & weed management,microbes,terrestrial,field,Yes,Yes,denitrifier community_composition,nutrient_transformation,community_composition,nutrient_transformation
Harrison,256,Gulis,2006,Freshwater Biology,Stimulation of leaf litter decomposition and associated fungi and invertebrates by moderate eutrophication: implications for stream assessment,Land use change,Eutrophication,microbes; invertebrates,aquatic,field,Yes,Yes,invertebrate abundance ; richness,decomposition ; hyphomycetes sporulation,abundance ; richness,decomposition ; hyphomycetes_sporulation
Harrison,258,Gustafsson,2010,Ecotoxicology,Direct and indirect effects of the fungicide azoxystrobin in outdoor brackish water microcosms,chemical stressor,Fungicide (aazoxystrobin),plankton; zooplankton,aquatic,lab,Yes,Yes,copepod abundance ; community_composition ; standing stocks,primary_production,copepod_abundance ; community_composition ; standing_stocks,primary_production
Harrison,260,Hafeez,2012,Journal of Soils and Sediments,Taxonomic and functional characterization of microbial communities in Technosols constructed for remediation of a contaminated industrial wasteland,Land use change,Technosol,microbes,terrestrial,,Yes,Yes,bacterial community structure ; bacterial abundance,enzyme_activity,community_structure ; abundance,enzyme_activity
Harrison,261,Hafeez,2012,Journal of Hazardous Materials,Distribution of bacteria and nitrogen-cycling microbial communities along constructed Technosol depth-profiles,Land use change,Technosol,microbes,terrestrial,,Yes,Yes,community_composition ; diversity ; abundance,nutrient_cycling,community_composition ; diversity ; abundance,nutrient_cycling
Harrison,262,Hanano,2014,Chemosphere,"Traceability of polychlorinated dibenzo-dioxins/furans pollutants in soil and their ecotoxicological effects on genetics, functions and composition of bacterial community",chemical stressor,Dioxins (Polychlorinated dibenzo-dioxins; furans),microbes,terrestrial,,Yes,Yes,density ; community_composition ; richness ; diversity,gene expression,density ; community_composition ; richness ; diversity,gene_expression
Harrison,264,Havens,1994,Oikos,Experimental perturbation of a fresh-water plankton community - A test of hypotheses regarding the effects of stress,chemical stressor,Copper sulfate,plankton,aquatic,field,Yes,Yes,size ; species richness ; community diversity ; trophic complexity ; trophic length,resource use efficiency ,size ; richness ; community_diversity ; trophic_complexity ; trophic_length,resource_use_efficiency
Harrison,266,He,2012,Journal of the Science of Food and Agriculture,Land reclamation and short-term cultivation change soil microbial communities and bacterial metabolic profiles,Land use change,Reclamation,microbs,terrestrial,field,Yes,Yes,diversity ; biomass,respiration,diversity ; biomass,respiration
Harrison,268,Hernandez,2013,Environmental Microbiology Reports,Impact of microbial diversity depletion on xenobiotic degradation by sewage-activated sludge,chemical stressor,PAHs,microbes,,,Yes,Yes,metabolic diversity,pollutant removal ; biomass production,metabolic_diversity,pollutant_removal ; biomass_production
Harrison,269,Hjorth,2006,Aquatic Toxicology,Effects on the function of three trophic levels in marine plankton communities under stress from the antifouling compound zinc pyrithione,chemical stressor,Zinc pyrithione,phytoplankton; zooplankton; bacteria,marine,,Yes,Yes,biomass ; bacterial diversity,bacterial activity ; zooplankton grazing rate ; primary_production,biomass ; diversity,activity ; zooplankton_grazing_rate ; primary_production
Harrison,270,Hjorth,2007,Marine Ecology Progress Series,Functional and structural responses of marine plankton food web to pyrene contamination,chemical stressor,pyrene (PAH),plankton,marine,lab,Yes,Yes,biomass ; bacterial abundance,phytoplankton community activity ; baterial community activity ; zooplankton grazing,biomass ; abundance,phytoplankton_community_activity ; baterial_community_activity ; zooplankton_grazing
Harrison,271,Hladyz,2011,Advances in Ecological Research,Stream Ecosystem Functioning in an Agricultural Landscape: The Importance of Terrestrial-Aquatic Linkages,Invasive species,Rhododendrum ponticum,invertebrates; bacteria; algae,aquatic,field,Yes,Yes,invertebrate community_composition ; abundance,decomposition ; algal primary_production ; herbivory,community_composition ; abundance,decomposition ; primary_production ; herbivory
Harrison,272,Hladyz,2011,Journal of Applied Ecology,Impacts of an aggressive riparian invader on community structure and ecosystem functioning in stream food webs,Land use change,Agriculture; pastures,invertebrates; bacteria; algae,aquatic,several,Yes,Yes,invertebrate community_composition,decomposition ; algal primary_production ; herbivory,community_composition,decomposition ; primary_production ; herbivory
Harrison,274,Hogsden,2013,Hydrobiologia,"Leaf breakdown, detrital resources, and food webs in streams affected by mine drainage",chemical stressor,Acidity (acid mine drainage) & Fe precipitates,microbes; invertebrates,aquatic,field,Yes,Yes,biomass ; trophic structure,decomposition ; microbial respiration,biomass ; trophic_structure,decomposition ; respiration
Harrison,275,Hogsden,2009,Aquatic Ecology,"Asymmetrical food web responses in trophic-level richness, biomass, and function following lake acidification",chemical stressor,Acidity,phytoplankton; zooplankton; fish,aquatic,field,Yes,Yes,richness ; abundance ; trophic structure,primary_production ; biomass % change,richness ; abundance ; trophic_structure,primary_production ; biomass_%_change
Harrison,276,Hopkins,2011,Water Air and Soil Pollution,"Ecosystem Structure and Function are Complementary Measures of Water Quality in a Polluted, Spring-Influenced River",chemical stressor,nutrient enrichment; fine sediment,invertebrates; microbes; periphyton,aquatic,field,Yes,Yes,invertebrate abundance ; biomass,decomposition ; primary_production ; community respiration,abundance ; biomass,decomposition ; primary_production ; respiration
Harrison,277,Hu,2011,Journal of Soils and Sediments,"Microbial functional diversity, metabolic quotient, and invertase activity of a sandy loam soil as affected by long-term application of organic amendment and mineral fertilizer",chemical stressor,Fertilizers (Nitrogen),microbes,terrestrial,,Yes,,microbial biomass,enzyme_activity ; basal respiration ; metabolic quotient,biomass,enzyme_activity ; basal_respiration ; metabolic_quotient
Harrison,278,Hu,2010,Plant and Soil,Responses of soil chemical and biological properties to nitrogen addition in a Dahurian larch plantation in Northeast China,chemical stressor,Nitrogen,microbes,terrestrial,,Yes,Yes,biomass ; functional_diversity,respiration ; microbial metabolic quotient ; enzyme_activity,biomass ; functional_diversity,respiration ; metabolic_quotient ; enzyme_activity
Harrison,279,Huang,2011,Fems Microbiology Ecology,"Biodiversity, abundance, and activity of nitrogen-fixing bacteria during primary succession on a copper mine tailings",chemical stressor,Copper (mine tailings),N-fixing bacteria,,,Yes,Yes,biomass ; diversity,enzyme_activity,biomass ; diversity,enzyme_activity
Harrison,281,Hughes,2016,Environmental Science and Pollution Research,"Impact of anti-inflammatories, beta-blockers and antibiotics on leaf litter breakdown in freshwaters",chemical stressor,Phamaceuticals (anti-infmammatories; beta-blockers; antibiotics),microbes,aquatic,field,Yes,Yes, invertebrate abundance ; community_composition,macroinvertebrate shredding activity ; microbial decomposition,abundance ; community_composition,shredding_activity ; decomposition
Harrison,282,Hunting,2013,Environmental Pollution,Effects of copper on invertebrate-sediment interactions,chemical stressor,Copper,invertebrate,aquatic,lab,Yes,Yes,invertebrate survival ,Decomposition ; bacterial activity ; metabolic diversity ; Eh development,survival,Decomposition ; activity ; metabolic_diversity ; Eh_development
Harrison,283,Huryn,2002,Freshwater Biology,"Catchment land-use, macroinvertebrates and detritus processing in headwater streams: taxonomic richness versus function",Land use change,nutrient enrichment (gradient),Fungi; macroinvertebrates,aquatic,field,Yes,Yes,biomass,fungal activity,biomass,activity
Harrison,285,Izagirre,2009,Science of the Total Environment,"Effects of sediment deposition on periphytic biomass, photosynthetic activity and algal community structure",Land use change,Sedimentation,periphyton,aquatic,lab,Yes,Yes,biomass ; community_composition,photosynthesis,biomass ; community_composition,photosynthesis
Harrison,286,Jackson,2015,Geomicrobiology Journal,"Effects of Bioavailable Heavy Metal Species, Arsenic, and Acid Drainage from Mine Tailings on a Microbial Community Sampled Along a Pollution Gradient in a Freshwater Ecosystem",chemical stressor,Metals (Ar; Zn; Cd; Cu; Pb; Ni; Co; Cr; and V) & acid drainage,microbes,aquatic,field,Yes,Yes,microbial diversity ; biomass ,respiration ; nutrient_transformation ; enzyme activities,diversity ; biomass,respiration ; nutrient_transformation ; enzyme_activities
Harrison,287,Jarvis,2014,Science of the Total Environment,The effects of the psychiatric drug carbamazepine on freshwater invertebrate communities and ecosystem dynamics,chemical stressor,Carbamazepine,gastropods (4 taxa); zooplankton; filamentous alage; phytoplankton,aquatic,lab,Yes,Yes,biomass ; richness ; abundance ; zooplankton abundance ; richness ; community_composition,biomass change ; decomposition,biomass ; richness ; abundance ; zooplankton_abundance ; richness ; community_composition,biomass_change ; decomposition
Harrison,289,Jeffries,2016,Frontiers in Microbiology,Bacterioplankton Dynamics within a Large Anthropogenically Impacted Urban Estuary,Land use change,Various: Stormwater; tidal flushing; contaminants; nutrient enrichment,microbes,aquatic,field,Yes,Yes,microbial community_composition,metabolic processess ,community_composition,metabolism
Harrison,291,Johnson,2014,Environmental Monitoring and Assessment,Use of leaf litter breakdown and macroinvertebrates to evaluate gradient of recovery in an acid mine impacted stream remediated with an active alkaline doser,Land use change; chemical stressor,Recovery of acid mine drainage with alkaline doser,macroinvertebrates; microbes,aquatic,field,Yes,Yes,invertebrate community_composition ,microbial respiration ; biomass change,community_composition,respiration ; biomass_change
Harrison,294,Jones,2010,Functional Ecology,Functional complementarity of Douglas-fir ectomycorrhizas for extracellular enzyme activity after wildfire or clearcut logging,Land use change,Wildfire; clearcut logging,Douglas-fir ectomycorrhizas,terrestrial,,Yes,Yes,fungal community_composition,enzyme_activity,community_composition,enzyme_activity
Harrison,295,Joseph,2015,Marine Ecology Progress Series,Resistance of benthic intertidal communities to multiple disturbances and stresses,Land use change; chemical stressor,nutrient enrichment,microalgae; mussels; invertebrates,marine,field,Yes,Yes,community_composition via percent cover,primary_production,community_composition_via_percent_cover,primary_production
Harrison,296,Juttner,1995,Archives of Environmental Contamination and Toxicology,An outdoor mesocosm study to assess ecotoxicological effects of atrazine on a natural plankton community,chemical stressor,atrazine,plankton,aquatic,field,Yes,Yes,phytoplankton abundance ; daphnia abundance ; sex ; rotifer abundance,daphnia reproduction ; percent change oxygen production,phytoplankton_abundance ; daphnia_abundance ; sex ; rotifer_abundance,daphnia_reproduction ; percent_change_oxygen_production
Harrison,297,Kaarlejarvi,2012,Ecosystems,Effects of Warming on Shrub Abundance and Chemistry Drive Ecosystem-Level Changes in a Forest-Tundra Ecotone,Climate change,Warming temperature,shrubs (Empetrum hermaphroditum; Vaccinium vitis-idaea; Vaccinium myrtillus and Betula nana).,terrestrial,field,Yes,Yes,shrub community_composition,tannin production,community_composition,tannin_production
Harrison,300,Karpouzas,2014,Soil Biology & Biochemistry,A tiered assessment approach based on standardized methods to estimate the impact of nicosulfuron on the abundance and function of the soil microbial community,chemical stressor,Nicosulfuron (pesticide),microbes,terrestrial,lab,Yes,Yes,bacterial ; fungal abundance,enzyme_activity,;_abundance,enzyme_activity
Harrison,301,Karu,2014,Wetlands Ecology and Management,Carbon fluxes in forested bog margins along a human impact gradient: could vegetation structure be used as an indicator of peat carbon emissions?,Land use change,Alkaline air pollution; peat mining; oil-shale mining,Vegetation,aquatic,field,Yes,Yes,vegetation basal area ; biomass,respiration ; methane emissions ; vegetation growth ; production,vegetation_basal_area ; biomass,respiration ; methane_emissions ; vegetation_growth ; production
Harrison,302,Kashian,2007,Ecological Applications,The cost of tolerance: Sensitivity of stream benthic communities to UV-B and metals,chemical stressor,UV-B and heavy metals,Benthic macroinvertebrates,aquatic,lab,yes,Yes,invertebrate abundance ,mayfly drift ; metabolism,abundance,mayfly_drift ; metabolism
Harrison,303,Kefford,2012,Science of the Total Environment,Risk assessment of salinity and turbidity in Victoria (Australia) to stream insects' community structure does not always protect functional traits,chemical stressor,Salinity and turbity,insects,aquatic,field,yes,Yes,community_composition ; functional_feeding_group,relative species retention,community_composition ; functional_feeding_group,relative_species_retention
Harrison,305,Kennedy,2012,Fundamental and Applied Limnology,"Herbiciding Phragmites australis: effects on litter decomposition, microbial biomass, and macroinvertebrate communities",Invasive species; chemical stressor,Phragmites australis; herbicide (glyphosate),microbes; macroinvertebrates,aquatic,field,Yes,Yes,biomass,decomposition,biomass,decomposition
Harrison,307,Khammar,2005,Journal of Applied Microbiology,Link between spatial structure of microbial communities and degradation of a complex mixture of volatile organic compounds in peat biofilters,chemical stressor,Volatile organic compound,microbes,terrestrial,lab,Yes,Yes,microbial spatial density ; diversity,biodegredation,spatial_density ; diversity,biodegredation
Harrison,308,Kinsella,2016,Marine Pollution Bulletin,Separate and combined effects of copper and freshwater on the biodiversity and functioning of fouling assemblages,chemical stressor,Copper & salinity (low),subtidal assemblages (algae & invertebrates),marine,,Yes,Yes,richness ; % cover taxa,community respiration ; primary_production,richness ; %_cover_taxa,respiration ; primary_production
Harrison,310,Klatt,2016,Isme Journal,Structure and function of natural sulphide-oxidizing microbial mats under dynamic input of light and chemical energy,,Light; oxygen,microbes,aquatic,field,Yes,Yes,microbial community_composition,oxygen flux ; sulfide flux,community_composition,oxygen_flux ; sulfide_flux
Harrison,311,Knauer,2012,Ecotoxicology and Environmental Safety,"Sensitivity, variability, and recovery of functional and structural endpoints of an aquatic community exposed to herbicides",chemical stressor,herbicide,phytoplankton; macrophytes,aquatic,lab,Yes,Yes,abundance ; diversity,photosynthesis ,abundance ; diversity,photosynthesis
Harrison,312,Knelman,2015,Soil Biology & Biochemistry,"Fire severity shapes plant colonization effects on bacterial community structure, microbial biomass, and soil enzyme activity in secondary succession of a burned forest",Fire,Fire severity,microbes,terrestrial,,Yes,Yes,biomass ; microbial community_composition,enzyme_activity,biomass ; community_composition,enzyme_activity
Harrison,315,Kools,2008,Science of the Total Environment,Stress responses investigated; application of zinc and heat to Terrestrial Model Ecosystems from heavy metal polluted grassland,chemical stressor,Metals (Zn; Pb; Cu),bacteria; nematodes; enchytraeids; earthworms,terrestrial,lab,Yes,Yes,biomass,leaching ; feeding activity ; plant growth ; respiration ,biomass,leaching ; feeding_activity ; plant_growth ; respiration
Harrison,316,Kools,2009,Ecotoxicology and Environmental Safety,Assessment of structure and function in metal polluted grasslands using Terrestrial Model Ecosystems,chemical stressor,Metals (Zn; Pb; Cu),bacteria; nematodes; enchytraeids; earthworms,terrestrial,lab,Yes,Yes,diversity ; biomass,respiration ; plant growth ; decomposer activity,diversity ; biomass,respiration ; plant_growth ; decomposer_activity
Harrison,317,Kreutzweiser,2004,Aquatic Toxicology,Some ecological implications of a neem (azadirachtin) insecticide disturbance to zooplankton communities in forest pond enclosures,chemical stressor,Insecticide (Neemix or azadirachtin),zooplankton,aquatic,field,Yes,Yes,biomass ; richness ; trophic levels;,community respiration ; predator-prey-competition interactions,biomass ; richness ; trophic_levels;,respiration ; predator-prey-competition_interactions
Harrison,318,Lafabrie,2013,Estuarine Coastal and Shelf Science,"Impact of contaminated-sediment resuspension on phytoplankton in the Biguglia lagoon (Corsica, Mediterranean Sea)",chemical stressor,Metals; PAHs; Resuspension,phytoplankton,aquatic,field,Yes,Yes,biomass,growth ; photosynthesis ; inhibition,biomass,growth ; photosynthesis ; inhibition
Harrison,320,Lambert,2016,Environmental Pollution,Temperature modulates phototrophic periphyton response to chronic copper exposure,chemical stressor,Copper; Temperature,periphyton,aquatic,,Yes,Yes,biomass ; algal group ; diatom composition,photosynthesis,biomass ; group ; diatom_composition,photosynthesis
Harrison,321,Larson,2007,Aquatic Microbial Ecology,Combined effects of an antifouling biocide and nutrient status on a shallow-water microbenthic community,chemical stressor,Biocide copper pyrithione; nutrient enrichment,microbenthos,aquatic,,Yes,Yes,biomass ; diversity,ammonification ; nutrient_transformation,biomass ; diversity,ammonification ; nutrient_transformation
Harrison,323,Lecerf,2010,Forest Ecology and Management,Litter decomposition can detect effects of high and moderate levels of forest disturbance on stream condition,Land use change,Deforestation,macroinvertebrates; fungi,aquatic,field,Yes,Yes,community_composition ; biomass,decomposition,community_composition ; biomass,decomposition
Harrison,324,Lecerf,2006,Archiv Fur Hydrobiologie,Assessment of functional integrity of eutrophic streams using litter breakdown and benthic macroinvertebrates,chemical stressor,nutrient enrichment (eutrophication),macroinvertebrates,aquatic,field,Yes,Yes,richness ; diversity ; various assemblage endpoints,decomposition,richness ; diversity ; various_assemblage_endpoints,decomposition
Harrison,326,Leeuwangh,1994,Human & Experimental Toxicology,An evaluation of 4 types of fresh-water model ecosystem for assessing the hazard of pesticides,chemical stressor,Pesticide (chlorpyrifos),algae; D. magna; bacteria,aquatic,lab,Yes,Yes,taxa abundance ; biomass,algal growth ; decomposition,taxa_abundance ; biomass,growth ; decomposition
Harrison,327,Leflaive,2015,Environmental Science and Pollution Research,Community structure and nutrient level control the tolerance of autotrophic biofilm to silver contamination,chemical stressor,Silver; Phosphorous,biofilms,aquatic,,Yes,Yes,community_composition ; function diversity,photosynthesis,community_composition ; function_diversity,photosynthesis
Harrison,328,LeRoy,2014,Fundamental and Applied Limnology,Indirect influences of a major drought on leaf litter quality and decomposition in a southwestern stream,Climate change,Dought,macroinvertebrates,aquatic,field,Yes,Yes,community_composition;,decomposition,community_composition;,decomposition
Harrison,331,Li,2015,Applied Soil Ecology,Soil microbial community structure and function are significantly affected by long-term organic and mineral fertilization regimes in the North China Plain,chemical stressor,nutrient enrichment,microbes,terrestrial,field,Yes,Yes,biomass ; community_composition,enzyme_activity,biomass ; community_composition,enzyme_activity
