REV,ACC,AUT,YEAR,JOUR,TITLE,STRESS_CLASS,STRESS_EXACT,RECEPT,AQUA_TERR,SYSTEM,STR_MEAS,FUN_MEAS,STR_VAR,STR_VAR
Bundschuh,175,Crouzet,2016,Environmental Science and Pollution Research,Functional and structural responses of soil N-cycling microbial communities to the herbicide mesotrione: a dose-effect microcosm approach,chemical stressor,Herbicide; Mesotrione,microbes,,,Yes,Yes,bactrial community ,Potential nutrient transformation Activity; Potential nutrient transformation Activity
Bundschuh,176,Crowe,2013,Plos One,Large-Scale Variation in Combined Impacts of Canopy Loss and Disturbance on Community Structure and Ecosystem Functioning,multiple stressors,Canopy removal; physical distrubance,algae; invertebrates,,,Yes,Yes,algal; invertebrate community composition,Community resporation; gross primary production; net primary production
Bundschuh,177,Daam,2010,Archives of Environmental Contamination and Toxicology,Direct and Indirect Effects of the Fungicide Carbendazim in Tropical Freshwater Microcosms,chemical stressor,Carbendazim,zooplankton; macroinvertebrates,,,,No,zooplankton community composition,
Bundschuh,178,Daam,2007,Archives of Environmental Contamination and Toxicology,"Effects of chlorpyrifos, carbendazim, and linuron on the ecology of a small indoor aquatic microcosm",chemical stressor,Chlorpyrifos; Carbendazim; Linuron,phytoplancton zooplankton,,,Yes,Yes,Communiy composition,organic matter decomposition
Bundschuh,179,Damashek,2015,Frontiers in Microbiology,Benthic ammonia oxidizers differ in community structure and biogeochemical potential across a riverine delta,Land use change,Genealr water quality parameters mainly N,microbes,,,Yes,Yes,ammonia axodizing bateria; archaea abundance,Potential nitridication rates
Bundschuh,180,Dangles,2004,Journal of Applied Ecology,Impacts of stream acidification on litter breakdown: implications for assessing ecosystem functioning,chemical stressor,Acidification,invertebrates; microbes,,,Yes,Yes,invertebrate community composition,organic matter decomposition; microbial respiration
Bundschuh,181,Dangles,2004,Oikos,Naturally acid freshwater ecosystems are diverse and functional: evidence from boreal streams,chemical stressor,Acidification,invertebrates,,,Yes,Yes,invertebrate community composition,organic matter decomposition
Bundschuh,182,Dangles,2000,Hydrobiologia,"Structural and functional responses of benthic macroinvertebrates to acid precipitation in two forested headwater streams (Vosges Mountains, northeastern France)",chemical stressor,Acidification,invertebrates,,,Yes,Yes,invertebrate community composition,organic matter decomposition
Bundschuh,184,Dassonville,2011,Biological Invasions,"Niche construction by the invasive Asian knotweeds (species complex Fallopia): impact on activity, abundance and community structure of denitrifiers and nitrifiers",Invasion,Asian Knotweeds,microbes,,,Yes,Yes,bacterial community composition ,Enzyme activity; Potential nutrient transformation Activity; Potential nutrient transformation Activity
Bundschuh,186,Davis,2004,Journal of Coastal Research,Importance of storm events in controlling ecosystem structure and function in a Florida gulf coast estuary,Extreme weather events,Plant,,,,Yes,Yes,vegetation community,mangrove litter production
Bundschuh,187,de,2016,Ecological Engineering,The effect of rehabilitation measures on ecological infrastructure in response to acid mine drainage from coal mining,restoration,acid mine drainage,microbes,,,Yes,Yes,Bacteria; Algae community,improvement in water quality
Bundschuh,189,De,2011,Environmental Toxicology and Chemistry,Ecosystem functions and densities of contributing functional groups respond in a different way to chemical stress,chemical stressor,Copper,Microbes; Invertebrates,,,Yes,Yes,Bacterial; invertrate; phytoplankton stucture,net primary production
Bundschuh,190,de,2016,Applied Soil Ecology,"Coal mining practices reduce the microbial biomass, richness and diversity of soil",Mining,habitat alteration; acidification; pollution,microbes,,,Yes,Yes,bacterial community composition,Enzyme activity
Bundschuh,191,De,2010,Environmental Pollution,Chlorpyrifos causes decreased organic matter decomposition by suppressing earthworm and termite communities in tropical soil,chemical stressor,Chlorpyriphos,invertebrates,,,Yes,Yes,Earthworm; termite community,Organic matter decomposition
Bundschuh,193,Del,2012,Limnetica,"The performance of biological indicators in assessing the ecological state of streams with varying catchment urbanisation levels in Coimbra, Portugal",Land use change,Urbanisation,invertebrates,,,Yes,Yes,invertebrate community composition,Organic matter decomposition
Bundschuh,194,DeLorenzo,2001,Microbial Ecology,Use of metabolic inhibitors to characterize ecological interactions in an estuarine microbial food web,chemical stressor,Cycloheximide; antibiotics; DCMU,microbes (flagellates; bacteria; ciliates),,,Yes,Yes,Phototrophic community compospition,Bacterial productivity; Primary production
Bundschuh,196,Dickens,2013,Soil Biology & Biochemistry,Exotic annuals reduce soil heterogeneity in coastal sage scrub soil chemical and biological characteristics,Invasion,exotic plants,microbes,,,Yes,Yes,Microbial community composition ,nutrient cycling
Bundschuh,197,Diepens,2015,Environmental Science & Technology,Molecular Assessment of Bacterial Community Dynamics and Functional End Points during Sediment Bioaccumulation Tests,chemical stressor,polychlorinated biphenyls; chlorpyrifos,microbes,,,Yes,No No,Microbial community composition ,functional genes
Bundschuh,199,Dol,2006,Journal of the North American Benthological Society,Comparison of structural and functional approaches to determining landuse effects on grassland stream invertebrate communities,Land use change,gradient of agricultural land use,invertebrates,,,Yes,No,invertebreate community composition,
Bundschuh,200,Downing,2010,Freshwater Biology,Species richness facilitates ecosystem resilience in aquatic food webs,chemical stressor,Acidification,plants; invertebrates,,,Yes,Yes,macrophyte; macroherbivores; invertebrates diversity,productivity; respiration
Bundschuh,201,Drenovsky,2007,Biological Invasions,Invasion by Aegilops triuncialis (barb goatgrass) slows carbon and nutrient cycling in a serpentine grassland,Invasion,invasive annual grass,microbes,,,Yes,Yes,microbe community analysis,Organic matter decomposition
Bundschuh,202,Duarte,2009,Freshwater Biology,Functional stability of stream-dwelling microbial decomposers exposed to copper and zinc stress,chemical stressor,metal; copper zinc,microbes,,,Yes,Yes,fugal; bacterial community composition ,Organic matter decomposition
Bundschuh,203,Edmonds,2009,Microbial Ecology,Microbial Community Response to Seawater Amendment in Low-Salinity Tidal Sediments,Climate change,Salinity,microbes,,,Yes,No,bacterial community composition ,
Bundschuh,205,Eisenhauer,2011,Biological Invasions,The wave towards a new steady state: effects of earthworm invasion on soil microbial functions,Invasion,earthworms,microbes,,,No,Yes,No diversity but biomass assessed,Respiration
Bundschuh,206,Elbrecht,2016,Freshwater Biology,"Multiple-stressor effects on stream invertebrates: a mesocosm experiment manipulating nutrients, fine sediment and flow velocity",multiple stressors,nutrients; fine sediments; flow,Invertebrates,,,Yes,No,invertebrate community composition,
Bundschuh,208,Emilson,2016,Freshwater Biology,Effects of land use on the structure and function of leaf-litter microbial communities in boreal streams,Land use change,Industry; urban,microbes,,,Yes,Yes,fungal; bacterial community composition ,Organic matter decomposition; Enzyme activity
Bundschuh,209,Englert,2013,Science of the Total Environment,Effects of municipal wastewater on aquatic ecosystem structure and function in the receiving stream,Land use change,wastewater release,invertebrates; microbes,,,Yes,Yes,invertebrate community composition,Organic matter decomposition 
Bundschuh,210,Englert,2015,Science of the Total Environment,Variability in ecosystem structure and functioning in a low order stream: Implications of land use and season,Land use change,agriculture; Wastewater; urban,invertebrates; microbes,,,Yes,Yes,invertebrate community composition,Organic matter decomposition 
Bundschuh,211,Esquilin,2007,Soil Biology & Biochemistry,Microbial community structure and activity in a Colorado Rocky Mountain forest soil scarred by slash pile burning,Land use change,Slash pile burning,microbes,,,Yes,Yes,fungal; bacterial Community composition ,fungal; bacterial respiration
Bundschuh,212,Evans,2012,Biogeochemistry,Soil microbial community response to drying and rewetting stress: does historical precipitation regime matter?,Climate change,Drought; rewetting,microbes,,,Yes,Yes,bacterial community composition,respiration
Bundschuh,214,Fairchild,1992,Environmental Toxicology and Chemistry,"Population-level, community-level and ecosystem-level responses of aquatic mesocosms to pulsed doses of a pyrethroid insecticide",chemical stressor,Esfenvalerate,invertebrate; algae; plants,,,Yes,Yes,invertebrate community composition;,primary production
Bundschuh,215,Fan,2016,Environmental Pollution,"Nano-TiO2 affects Cu speciation, extracellular enzyme activity, and bacterial communities in sediments",chemical stressor,Cu; TiO2 Nanoparticles,microbes,,,Yes,Yes,bacterial community composition ,Enzyme activity
Bundschuh,216,Fanin,2016,Soil Biology & Biochemistry,Aboveground litter quality is a better predictor than belowground microbial communities when estimating carbon mineralization along a land-use gradient,Land use change,plantation; culture; grassland; forest,microbes,,,Yes,Yes,Microbial community composition ,Organic matter decomposition; Enzyme activity
Bundschuh,218,Farrell,2010,Fems Microbiology Ecology,Microbial diversity and activity are increased by compost amendment of metal-contaminated soil,chemical stressor,Metals,microbes,,,Yes,Yes,microbial community composition ,respiration
Bundschuh,219,Fechner,2012,Aquatic Toxicology,Adaptation of copper community tolerance levels after biofilm transplantation in an urban river,chemical stressor,Metals,microbes,,,Yes,Yes,Microbial community composition ,Enzyme activity
Bundschuh,221,Fernandes,2009,Science of the Total Environment,Mixtures of zinc and phosphate affect leaf litter decomposition by aquatic fungi in streams,chemical stressor,Metal; Zinc; Phosphate; Nutrients,microbes,,,Yes,Yes,Fungal diversity ,organic matter decomposition
Bundschuh,222,Fernandez,2015,Science of the Total Environment,Effects of fungicides on decomposer communities and litter decomposition in vineyard streams,Land use change,Agriculture; Pesticides,Microbes; Invertebrates,,,Yes,Yes,Fungal; invertebrate community composition,Organic matter decomposition 
Bundschuh,223,Ferreira,2011,Global Change Biology,Synergistic effects of water temperature and dissolved nutrients on litter decomposition and associated fungi,multiple stressors,Temperture; Nutrients,microbes,,,Yes,Yes,Fungal diversity ,organic matter decomposition; respiration
Bundschuh,224,Ferreira,2016,Limnologica,Effects of whole-stream nitrogen enrichment and litter species mixing on litter decomposition and associated fungi,chemical stressor,nutrients,microbes,,,Yes,Yes,Fungal species richness ,organic matter decomposition
Bundschuh,225,Fichtner,2014,Soil Biology & Biochemistry,Effects of anthropogenic disturbances on soil microbial communities in oak forests persist for more than 100 years,Land use change,Forestry intensity gradient,microbes,,,Yes,Yes,Microbial community ,Enzyme activity
Bundschuh,226,Flores,2014,Science of the Total Environment,Effects of a fungicide (imazalil) and an insecticide (diazinon) on stream fungi and invertebrates associated with litter breakdown,chemical stressor,Imazalil; Diazinon,microbes,,,Yes,Yes,Fungal diversity ,Consumption by fredders 
Bundschuh,228,Foulquier,2013,Fems Microbiology Ecology,Long-term impact of hydrological regime on structure and functions of microbial communities in riverine wetland sediments,hydrological regime,microbes,,,,Yes,Yes,bacterial community composition ,respiration; deniytrification; nutrient transformation; Enzyme activity
Bundschuh,229,Franzo,2016,Environmental Science and Pollution Research,"Benthic ecosystem functioning in the severely contaminated Mar Piccolo of Taranto (Ionian Sea, Italy): focus on heterotrophic pathways",chemical stressor,heavy metals PCB,microbes,,,Yes,Yes,bacterial community composition,enzyme acitivty; heterotrophic carbon production
Harrison,230,Frenk,2013,Plos One,Effect of Metal Oxide Nanoparticles on Microbial Community Structure and Function in Two Different Soil Types,chemical stressor,Copper oxide and magnetite nanoparticles,Bacteria,terrestrial,lab,Yes,Yes,Community composition  and size,respiration rate; oxidative potential
Harrison,231,Frey,2006,Soil Biology & Biochemistry,Microbial activity and community structure of a soil after heavy metal contamination in a model forest ecosystem,chemical stressor,Heavy metal dust (Cu; Zn; Cd; Pb) and acid rain,Microbes,terrestrial,Field,Yes,Yes,Community composition ,enzyme activity 
Harrison,232,Friberg,2009,Freshwater Biology,Relationships between structure and function in streams contrasting in temperature,Physical stressor,Temperature,Macroinvertebrates; Leaf litter,aquatic,Field,Yes,Yes,Eveness; density of fish functional groups,decomposition; nutrient diffusion
Harrison,233,Fromin,2012,Journal of Soils and Sediments,Spatial variability of the functional stability of microbial respiration process: a microcosm study using tropical forest soil,Physical stressor,Temperature,Microbes,terrestrial,lab,Yes,Yes,Genetic diversity,respiration
Harrison,234,Fry,2016,Soil Biology & Biochemistry,Shifts in microbial communities do not explain the response of grassland ecosystem function to plant functional composition and rainfall change,Physical stressor,Rainfall change,Bacteria,terrestrial,Field,Yes,Yes,abundance; community composition,respiration
Harrison,235,Fuller,1997,Soil Biology & Biochemistry,Trichloroethylene (TCE) and toluene effects on the structure and function of the soil community,chemical stressor,Trichloroethylene; toluene,Microbes,terrestrial,lab,Yes,Yes,Nematode maturity index; nematode abundance; microbial density & abundance; arthropod activity; plant germination,respiration; arthropod activity
Harrison,236,Fultz,2016,Applied Soil Ecology,Forest wildfire and grassland prescribed fire effects on soil biogeochemical processes and microbial communities: Two case studies in the semi-arid Southwest,Fire,wildfire; prescribed fire,microbes; BGC processes,terrestrial,,Yes,Yes,microbial community composition; biomass,CO2 flux
Harrison,237,Funck,2013,Aquatic Toxicology,Phosphorus availability modulates the toxic effect of silver on aquatic fungi and leaf litter decomposition,chemical stressor,Silver,Microbes,aquatic,Field,Yes,Yes,species richness,leaf litter decomposition; feeding rates of gammarus
Harrison,238,Gardestrom,2016,Freshwater Biology,Disturbance history influences stressor impacts: effects of a fungicide and nutrients on microbial diversity and litter decomposition,chemical stressor,Fungicide; nutrients,microbes,aquatic,field,Yes,Yes,hyphomycete diversity,leaf litter decomposition; feed rates of gammarus; detritivore  growth
Harrison,240,Gelsomino,2006,Soil Biology & Biochemistry,Changes in chemical and biological soil properties as induced by anthropogenic disturbance: A case study of an agricultural soil under recurrent flooding by wastewaters,Flooding,Flooding,microbes,terrestrial,field,Yes,Yes,community composition; biomass,Substrate-induced respiration; biomass
Harrison,241,Ginebreda,2014,Science of the Total Environment,"Assessment of multi-chemical pollution in aquatic ecosystems using toxic units: Compound prioritization, mixture characterization and relationships with biological descriptors",chemical stressor,mixture (29 pharmaceuticals; 22 pesticides),Daphnia magna and algae,aquatic,field,Yes,Yes,macroinvertebrate biomass and diversity,biomass; diatom quality; chlorophyll-a; photosyntheic capacity
Harrison,242,Goberna,2012,Microbial Ecology,Burning Fire-Prone Mediterranean Shrublands: Immediate Changes in Soil Microbial Community Structure and Ecosystem Functions,,Fire,Microbes,terrestrial,field,Yes,Yes,community composition of archaea; bacteria; fungi,biomass C; respiration; soil dyrolases
Harrison,243,Gomes,2016,Limnologica,The replacement of native plants by exotic species may affect the colonization and reproduction of aquatic hyphomycetes,Invasive species,Eucalyptus monocultures,fungi,terrestrial,field,Yes,Yes,fungal colonization,fungal sporulation
Harrison,244,Goncalves,2012,Marine and Freshwater Research,"Invertebrate colonisation during leaf processing of native, exotic and artificial detritus in a tropical stream",Invasive; exotic species,Eucalyptus grandis,invertebrates,aquatic,field,Yes,Yes,density; richess,leaf litter break down
Harrison,246,Green,2012,Plos One,Effects of Non-Indigenous Oysters on Microbial Diversity and Ecosystem Functioning,Invasive species,Pacific oyster (Crasostrea gigas),microbes,,,Yes,Yes,diversity of bacteria and functionally important microbes,Chlorophyll; microbial activity; community respiration;
Harrison,247,Griebler,2016,Environmental Earth Sciences,"Potential impacts of geothermal energy use and storage of heat on groundwater quality, biodiversity, and ecosystem processes",Physical; Land use change ,Temperature,bacteria,,,Yes,Yes,microbial diversity,bacterial production
Harrison,248,Griffiths,2001,Applied Soil Ecology,"Functional stability, substrate utilisation and biological indicators of soils following environmental impacts",Chemical; Physical; Climate,Copper; heat stress,protozoan population,,,Yes,Yes,protozoan population ,respiration decomposition
Harrison,251,Gros,2004,Applied Soil Ecology,Relationships between soil physico-chemical properties and microbial activity along a restoration chronosequence of alpine grasslands following ski run construction,Land use change,Soil erosion,microbes,terrestrial,,Yes,Yes,heterotrophic microbial diversity,nitrogenase activity; basal metabolism 
Harrison,252,Guasch,2016,Freshwater Biology,Influence of grazing on triclosan toxicity to stream periphyton,Chemical; Biological,Triclosan; Grazing by snails,Periphyton,aquatic,lab,Yes,Yes,periphyton growth form; biomass,biomass; p uptake
Harrison,253,Gucker,2009,Freshwater Biology,Impacts of agricultural land use on ecosystem structure and whole-stream metabolism of tropical Cerrado streams,Land use change ,Eutrophication; structural degredation,microbes; invertebrates,aquatic,field,Yes,Yes,biomass; benthic invertebrate community diversity; functional feeding groups; densities,community respiration; gross primary productivity
Harrison,254,Gucker,2006,Journal of the North American Benthological Society,Effects of wastewater treatment plant discharge on ecosystem structure and function of lowland streams,Land use change,Agriculture,microbes,aquatic,field,Yes,Yes,biomass,community respiration; gross primary production
Harrison,255,Gulden,2015,Agriculture Ecosystems & Environment,Preceding crop and weed management history affect denitrification and denitrifier community structure throughout the development of durum wheat,Land use change,Agriculture crop & weed management,microbes,terrestrial,field,Yes,Yes,denitrifier community composition,denutrient transformation
Harrison,256,Gulis,2006,Freshwater Biology,Stimulation of leaf litter decomposition and associated fungi and invertebrates by moderate eutrophication: implications for stream assessment,Land use change,Eutrophication,microbes; invertebrates,aquatic,field,Yes,Yes,invertebrate abundance and richness,decomposition; hyphomycetes sporulation
Harrison,257,Gundale,2005,Forest Ecology and Management,"Restoration treatments in a Montana ponderosa pine forest: Effects on soil physical, chemical and biological properties",Land use change ,Perscribed burns,microbes,terrestrial,field,Yes,No,community composition; biomass,
Harrison,258,Gustafsson,2010,Ecotoxicology,Direct and indirect effects of the fungicide azoxystrobin in outdoor brackish water microcosms,chemical stressor,Fungicide (aazoxystrobin),plankton; zooplankton,aquatic,lab,Yes,Yes,copepod abundance; zooplankton and plankton community composition & standing stocks,primary production
Harrison,260,Hafeez,2012,Journal of Soils and Sediments,Taxonomic and functional characterization of microbial communities in Technosols constructed for remediation of a contaminated industrial wasteland,Land use change ,Technosol,microbes,terrestrial,,Yes,Yes,bacterial commucity structure; bacterial abundance,enzyme activity
Harrison,261,Hafeez,2012,Journal of Hazardous Materials,Distribution of bacteria and nitrogen-cycling microbial communities along constructed Technosol depth-profiles,Land use change ,Technosol,microbes,terrestrial,,Yes,Yes,community composition; diversity; abundance,nitrogen cycling activity via functional guilds
Harrison,262,Hanano,2014,Chemosphere,"Traceability of polychlorinated dibenzo-dioxins/furans pollutants in soil and their ecotoxicological effects on genetics, functions and composition of bacterial community",chemical stressor,Dioxins (Polychlorinated dibenzo-dioxins; furans),microbes,terrestrial,,Yes,Yes,density; community composition; richness; diversity,gene expression
Harrison,264,Havens,1994,Oikos,Experimental perturbation of a fresh-water plankton community - A test of hypotheses regarding the effects of stress,chemical stressor,Copper sulfate,plankton,aquatic,field,Yes,Yes,size; species richness; community diversity; food web complexity; food web length,resource use efficiency 
Harrison,265,Havens,1998,Environmental Pollution,Functional complementarity in plankton communities along a gradient of acid stress,chemical stressor,Acidity,plankton,aquatic,field,Yes,No,biomass; biomass,
Harrison,266,He,2012,Journal of the Science of Food and Agriculture,Land reclamation and short-term cultivation change soil microbial communities and bacterial metabolic profiles,Land use change,Reclamation,microbs,terrestrial,field,Yes,Yes,diversity; biomass,respiration
Harrison,268,Hernandez,2013,Environmental Microbiology Reports,Impact of microbial diversity depletion on xenobiotic degradation by sewage-activated sludge,chemical stressor,PAHs,microbes,,,Yes,Yes,metabolic diversity,pollutant  removal; biomass productivity
Harrison,269,Hjorth,2006,Aquatic Toxicology,Effects on the function of three trophic levels in marine plankton communities under stress from the antifouling compound zinc pyrithione,chemical stressor,Zinc pyrithione,phytoplankton; zooplankton; bacteria,marine,,Yes,Yes,biomass; bacterail diversity,bacterial activity ; zooplankton grazing rates; primary productivity
Harrison,270,Hjorth,2007,Marine Ecology Progress Series,Functional and structural responses of marine plankton food web to pyrene contamination,chemical stressor,pyrene (PAH),plankton,marine,lab,Yes,Yes,biomass; bacterial abundance,phytoplankton community activity; baterial community activity; zooplankton grazing
Harrison,271,Hladyz,2011,Advances in Ecological Research,Stream Ecosystem Functioning in an Agricultural Landscape: The Importance of Terrestrial-Aquatic Linkages,Invasive species,Rhododendrum ponticum,invertebrates; bacteria; algae,aquatic,field,Yes,Yes,invertebrate community composition; abundance,decomposition; algal primary production; herbivory
Harrison,272,Hladyz,2011,Journal of Applied Ecology,Impacts of an aggressive riparian invader on community structure and ecosystem functioning in stream food webs,Land use change,Agriculture; pastures,invertebrates; bacteria; algae,a,several,Yes,Yes,invertebrate community composition,decomposition rates; algal production; herbivory rates
Harrison,274,Hogsden,2013,Hydrobiologia,"Leaf breakdown, detrital resources, and food webs in streams affected by mine drainage",chemical stressor,Acidity (acid mine drainage) & Fe precipitates,microbes; invertebrates,aquatic,field,Yes,Yes,biomass; food web structure,decomposition; microbial respiration
Harrison,275,Hogsden,2009,Aquatic Ecology,"Asymmetrical food web responses in trophic-level richness, biomass, and function following lake acidification",chemical stressor,Acidity,phytoplankton; zooplankton; fish,aquatic,field,Yes,Yes,richness; abundance; trophic structure,primary production; biomass % change
Harrison,276,Hopkins,2011,Water Air and Soil Pollution,"Ecosystem Structure and Function are Complementary Measures of Water Quality in a Polluted, Spring-Influenced River",chemical stressor,Nutrients; fine sediment,invertebrates; microbes; periphyton,aquatic,field,Yes,Yes,invertebrate abundance; biomass,leaf decomposition rates; primary production; community respiration
Harrison,277,Hu,2011,Journal of Soils and Sediments,"Microbial functional diversity, metabolic quotient, and invertase activity of a sandy loam soil as affected by long-term application of organic amendment and mineral fertilizer",chemical stressor,Fertilizers (Nitrogen),microbes,terrestrial,,Yes,,microbial biomass,invertase activity; basal respiration; metabolic quotient
Harrison,278,Hu,2010,Plant and Soil,Responses of soil chemical and biological properties to nitrogen addition in a Dahurian larch plantation in Northeast China,chemical stressor,Nitrogen,microbes,terrestrial,,Yes,Yes,biomass; functional diversity,respiration; microbial metabolic quotient; enzyme activity
Harrison,279,Huang,2011,Fems Microbiology Ecology,"Biodiversity, abundance, and activity of nitrogen-fixing bacteria during primary succession on a copper mine tailings",chemical stressor,Copper (mine tailings),N-fixing bacteria,,,Yes,Yes,biomass; diversity,nitrogenase activity
Harrison,281,Hughes,2016,Environmental Science and Pollution Research,"Impact of anti-inflammatories, beta-blockers and antibiotics on leaf litter breakdown in freshwaters",chemical stressor,Phamaceuticals (anti-infmammatories; beta-blockers; antibiotics),microbes,aquatic,field,Yes,Yes,benthic macroinvertebrate abundance; community composition,macroinvertebrate shredding activity; microbial decomposition
Harrison,282,Hunting,2013,Environmental Pollution,Effects of copper on invertebrate-sediment interactions,chemical stressor,Copper,invertebrate,aquatic,lab,Yes,Yes,invertebrate survival ,Decomposition ; bacterial activity; metabolic diversity; Eh development
Harrison,283,Huryn,2002,Freshwater Biology,"Catchment land-use, macroinvertebrates and detritus processing in headwater streams: taxonomic richness versus function",Land use change,Nutrients (gradient),Fungi; macroinvertebrates,aquatic,field,Yes,Yes,biomass; biomass,fungal activity
Harrison,285,Izagirre,2009,Science of the Total Environment,"Effects of sediment deposition on periphytic biomass, photosynthetic activity and algal community structure",Land use change,Sedimentation,periphyton,aquatic,lab,Yes,Yes,biomass; community composition,photosyntheic activity
Harrison,286,Jackson,2015,Geomicrobiology Journal,"Effects of Bioavailable Heavy Metal Species, Arsenic, and Acid Drainage from Mine Tailings on a Microbial Community Sampled Along a Pollution Gradient in a Freshwater Ecosystem",chemical stressor,Metals (Ar; Zn; Cd; Cu; Pb; Ni; Co; Cr; and V) & acid drainage,microbes,aquatic,field,Yes,Yes,microbial diversity & biomass ,respiration; denutrient transformation; enzyme activities
Harrison,287,Jarvis,2014,Science of the Total Environment,The effects of the psychiatric drug carbamazepine on freshwater invertebrate communities and ecosystem dynamics,chemical stressor,Carbamazepine,gastropods (4 taxa); zooplankton; filamentous alage; phytoplankton,aquatic,lab,Yes,Yes,biomass; richness; abundance; zooplankton abundance; richness & community composition,biomass change; decomposition
Harrison,288,Jassey,2013,Global Change Biology,Above- and belowground linkages in Sphagnum peatland: climate warming affects plant-microbial interactions,Climate change,Warming temperature,plant-microbial interactions,aquatic,,Yes,No,biomass;biomass; moss and vascular plant abundance,
Harrison,289,Jeffries,2016,Frontiers in Microbiology,Bacterioplankton Dynamics within a Large Anthropogenically Impacted Urban Estuary,Land use change,Various: Stormwater; tidal flushing; contaminants; nutrients,microbes,aquatic,field,Yes,Yes,microbial community composition,metabolic processess 
Harrison,291,Johnson,2014,Environmental Monitoring and Assessment,Use of leaf litter breakdown and macroinvertebrates to evaluate gradient of recovery in an acid mine impacted stream remediated with an active alkaline doser,Land use change; chemical stressor,Recovery of acid mine drainage with alkaline doser,macroinvertebrates; microbes,aquatic,field,Yes,Yes,macroinvertebrate community composition ,microbial respiration rates; biomass change
Harrison,294,Jones,2010,Functional Ecology,Functional complementarity of Douglas-fir ectomycorrhizas for extracellular enzyme activity after wildfire or clearcut logging,Land use change,Wildfire; clearcut logging,Douglas-fir ectomycorrhizas,terrestrial,,Yes,Yes,fungal community composition,enzyme activity
Harrison,295,Joseph,2015,Marine Ecology Progress Series,Resistance of benthic intertidal communities to multiple disturbances and stresses,Land use change; chemical stressor,Nutrients,microalgae; mussels; invertebrates,marine,field,Yes,Yes,community composition  via percent cover,primary productivity
Harrison,296,Juttner,1995,Archives of Environmental Contamination and Toxicology,An outdoor mesocosm study to assess ecotoxicological effects of atrazine on a natural plankton community,chemical stressor,atrazine,plankton,aquatic,field,Yes,Yes,phytoplankton abundance; daphnia abundance & sex; rotifer abundance,daphnia reproduction; percent change oxygen production
Harrison,297,Kaarlejarvi,2012,Ecosystems,Effects of Warming on Shrub Abundance and Chemistry Drive Ecosystem-Level Changes in a Forest-Tundra Ecotone,Climate change,Warming temperature,shrubs (Empetrum hermaphroditum; Vaccinium vitis-idaea; Vaccinium myrtillus and Betula nana).,terrestrial,field,Yes,Yes,shrub community composition,tannin production
Harrison,298,Kaffe,2006,Soil Biology & Biochemistry,Soil microbial functional diversity response following nematocide and biocide amendments in a desert ecosystem,chemical stressor,nematocide; biocide,microbes,terrestrial,field,Yes,No,community composition; funcitonal diversity,
Harrison,300,Karpouzas,2014,Soil Biology & Biochemistry,A tiered assessment approach based on standardized methods to estimate the impact of nicosulfuron on the abundance and function of the soil microbial community,chemical stressor,Nicosulfuron (pesticide),microbes,terrestrial,lab,Yes,Yes,abundance of bacterial and fungi,enzyme activity
Harrison,301,Karu,2014,Wetlands Ecology and Management,Carbon fluxes in forested bog margins along a human impact gradient: could vegetation structure be used as an indicator of peat carbon emissions?,Land use change,Alkaline air pollution; peat mining; oil-shale mining,Vegetation,aquatic,field,Yes,Yes,vegetation basal area; biomass,respiration; methane emissions; vegetation growth and productivity
Harrison,302,Kashian,2007,Ecological Applications,The cost of tolerance: Sensitivity of stream benthic communities to UV-B and metals,chemical stressor,UV-B and heavy metals,Benthic macroinvertebrates,aquatic,lab,yes,Yes,macroinvertebrate abundances ,mayfly drift; metabolism
Harrison,303,Kefford,2012,Science of the Total Environment,Risk assessment of salinity and turbidity in Victoria (Australia) to stream insects' community structure does not always protect functional traits,chemical stressor,Salinity and turbity,insects,aquatic,field,yes,Yes,Community composition; functional feeding group,relative species retention
Harrison,304,Keiser,2013,Plant and Soil,Microbial communities may modify how litter quality affects potential decomposition rates as tree species migrate,Climate change,Temperature (tree species migration simulation),microbes,terrestrial,lab,No,Yes,,carbon mineralization
Harrison,305,Kennedy,2012,Fundamental and Applied Limnology,"Herbiciding Phragmites australis: effects on litter decomposition, microbial biomass, and macroinvertebrate communities",Invasive species; chemical stressor,Phragmites australis; herbicide (glyphosate),microbes; macroinvertebrates,aquatic,field,Yes,Yes,biomass; biomass,decomposition rates
Harrison,307,Khammar,2005,Journal of Applied Microbiology,Link between spatial structure of microbial communities and degradation of a complex mixture of volatile organic compounds in peat biofilters,chemical stressor,Volatile organic compound,microbes,terrestrial,lab,Yes,Yes,microbial spatial density and diversity,biodegredation of pollutants
Harrison,308,Kinsella,2016,Marine Pollution Bulletin,Separate and combined effects of copper and freshwater on the biodiversity and functioning of fouling assemblages,chemical stressor,Copper & salinity (low),subtidal assemblages (algae & invertebrates),marine,,Yes,Yes,richness; % cover taxa,community respiration rate; gross primary production
Harrison,310,Klatt,2016,Isme Journal,Structure and function of natural sulphide-oxidizing microbial mats under dynamic input of light and chemical energy,,Light; oxygen,microbes,aquatic,field,Yes,Yes,microbial community composition,oxygen flux; sulfide flux
Harrison,311,Knauer,2012,Ecotoxicology and Environmental Safety,"Sensitivity, variability, and recovery of functional and structural endpoints of an aquatic community exposed to herbicides",chemical stressor,herbicide,phytoplankton; macrophytes,aquatic,lab,Yes,Yes,abundance; diversity,photosynthesis 
